Game,Year,Genre,Publisher,North America,Global,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,1.0,2.42,2123,116622,22.6,4.6,80,100
Uncharted: The Lost Legacy,2017.0,Action,Sony Interactive Entertainment,0.58,2.37,2210,113045,27.6,4.3,15,20
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.75,2.17,2774,72693,14.9,3.5,20,25
PlayStation VR Worlds,2016.0,Misc,Sony Interactive Entertainment,0.36,2.16,9737,43905,0.9,3.5,15,20
Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.61,2.07,5995,123487,2.9,4.3,40,50
LittleBigPlanet 3,2014.0,Platform,Sony Computer Entertainment,0.78,2.06,4811,86828,1.6,3.5,15,20
Rocket League,2016.0,Sports,505 Games,0.37,2.02,5500,206979,2.2,4.2,15,20
Just Cause 3,2015.0,Action-Adventure,Square Enix,0.53,1.98,4971,128407,2.1,3.6,60,80
Dishonored 2,2016.0,Action,Bethesda Softworks,0.62,1.97,2867,53926,13.2,4.1,30,35
Until Dawn,2015.0,Adventure,Sony Computer Entertainment,0.62,1.9,2048,135672,33.1,4.2,15,20
Knack,2013.0,Platform,Sony Computer Entertainment,0.45,1.88,3714,86731,8.6,3.2,50,60
The Evil Within,2014.0,Action,Bethesda Softworks,0.56,1.86,4736,56957,3.2,4.0,50,60
Titanfall 2,2016.0,Shooter,Electronic Arts,0.75,1.72,2559,125923,12.1,4.3,15,20
Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.88,1.72,4410,63317,1.9,4.1,60,80
Tekken 7,2017.0,Fighting,Namco Bandai Games,0.6,1.7,1858,64736,36.5,3.9,8,10
Persona 5,2016.0,Role-Playing,Deep Silver,0.62,1.64,2524,76018,13.7,4.7,150,200
The Order: 1886,2015.0,Shooter,Sony Computer Entertainment,0.44,1.62,1633,120792,54.6,3.6,8,10
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.48,1.61,2099,93084,26.6,4.2,15,20
Detroit: Become Human,2018.0,Adventure,Sony Interactive Entertainment,0.55,1.57,2221,162329,18.0,4.4,20,25
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.71,1.54,2833,52293,6.1,4.0,35,40
Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.58,1.49,3071,69124,7.9,3.6,80,100
The Sims 4,2017.0,Simulation,Electronic Arts,0.44,1.39,2738,43443,17.7,3.2,3,4
The Last Guardian,2016.0,Action-Adventure,Sony Interactive Entertainment,0.4,1.29,3435,31767,8.1,3.8,25,30
Guitar Hero Live,2015.0,Music,Activision,0.52,1.21,5159,24575,1.8,3.4,200,700
Shadow of the Colossus,2018.0,Action-Adventure,Sony Interactive Entertainment,0.44,1.2,3361,98007,10.0,4.2,20,25
LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.48,1.18,3230,11726,4.1,4.0,15,20
LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.41,1.18,1829,27986,40.3,3.9,25,30
MLB The Show 17,2017.0,Sports,Sony Interactive Entertainment,0.94,1.16,3174,10153,7.1,4.4,30,35
LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.21,1.14,5379,19148,1.5,3.3,60,80
LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.33,1.11,2861,18946,13.6,3.7,50,60
